geo,TIME_PERIOD,population,unit,geo,TIME_PERIOD,gdp_mio_euro,gdp_per_capita
DE11,2019,4143418,MIO_EUR,DE11,2019,224632.72,54214.35153
DE12,2019,2805129,MIO_EUR,DE12,2019,128174.58,45692.93605
DE13,2019,2264469,MIO_EUR,DE13,2019,90036.23,39760.41624
DE14,2019,1856517,MIO_EUR,DE14,2019,84026.25,45260.15652
DE21,2019,4686163,MIO_EUR,DE21,2019,284856.66,60786.7588
DE22,2019,1238528,MIO_EUR,DE22,2019,50136.48,40480.69967
DE23,2019,1109269,MIO_EUR,DE23,2019,48195.24,43447.74802
DE24,2019,1067482,MIO_EUR,DE24,2019,42129.38,39466.12683
DE25,2019,1770401,MIO_EUR,DE25,2019,82528.79,46615.87403
DE26,2019,1317124,MIO_EUR,DE26,2019,54980.05,41742.50109
DE27,2019,1887754,MIO_EUR,DE27,2019,77707.64,41164.07117
DE30,2019,3644826,MIO_EUR,DE30,2019,156938.01,43057.7509
DE40,2019,2511917,MIO_EUR,DE40,2019,75495.52,30054.9421
DE50,2019,682986,MIO_EUR,DE50,2019,33616.73,49220.23292
DE60,2019,1841179,MIO_EUR,DE60,2019,124116.34,67411.33806
DE71,2019,3998724,MIO_EUR,DE71,2019,212421.83,53122.40355
DE72,2019,1047262,MIO_EUR,DE72,2019,37313.35,35629.43179
DE73,2019,1219823,MIO_EUR,DE73,2019,46098.23,37790.91721
DE80,2019,1609675,MIO_EUR,DE80,2019,46997.85,29197.10501
DE91,2019,1596396,MIO_EUR,DE91,2019,79969.60,50093.83637
DE92,2019,2149805,MIO_EUR,DE92,2019,86568.02,40267.84755
DE93,2019,1710914,MIO_EUR,DE93,2019,50156.31,29315.50621
DE94,2019,2525333,MIO_EUR,DE94,2019,93018.46,36834.13633
DEA1,2019,5202321,MIO_EUR,DEA1,2019,222722.64,42812.16788
DEA2,2019,4468904,MIO_EUR,DEA2,2019,197519.31,44198.60216
DEA3,2019,2623619,MIO_EUR,DEA3,2019,91577.84,34905.15963
DEA4,2019,2055310,MIO_EUR,DEA4,2019,81284.94,39548.74934
DEA5,2019,3582497,MIO_EUR,DEA5,2019,129209.88,36066.98903
DEB1,2019,1495885,MIO_EUR,DEB1,2019,51663.83,34537.30066
DEB2,2019,531007,MIO_EUR,DEB2,2019,16703.89,31457.00527
DEB3,2019,2057952,MIO_EUR,DEB3,2019,79178.70,38474.51253
Dec-00,2019,990509,MIO_EUR,Dec-00,2019,35635.59,35977.04816
DED2,2019,1598199,MIO_EUR,DED2,2019,51801.71,32412.55313
DED4,2019,1436445,MIO_EUR,DED4,2019,42277.68,29432.16065
DED5,2019,1043293,MIO_EUR,DED5,2019,35712.05,34230.12519
DEE0,2019,2208321,MIO_EUR,DEE0,2019,64735.15,29314.19391
DEF0,2019,2896712,MIO_EUR,DEF0,2019,99426.69,34323.98181
DEG0,2019,2143145,MIO_EUR,DEG0,2019,63785.84,29762.72721
